Timestamp,Name,Intake To,Breed,Color,Sex,Age,Dob (If Available),Weight,Intake From,Dog Friendly,Kid Friendly,Cat Friendly,Other Notes,Petfinder Link,Email Address,Status,Color Category,Primary Breed,Breed Group,Intake To Category,Days In Rescue,Intake Month,Age Group,Weight Group,Intake Source Type,Data Completeness %,LOS Bucket,Dog ID
2024-12-12 10:23:58,Coco,Barn,Staffordshire Terrier Mix,Brown And White,Female,5.0,,50.0,Estill County,No,Yes,No,,https://www.petfinder.com/dog/coco-save-2-lives-by-rescuing-one-71153128/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Brown,Other,Other,Barn,544.0,2024-12,Adult,Large,County Shelter,100.0,180+ Days,DOG-0001
2024-12-12 10:47:28,Dallas,Barn,Pit Mix,Black And White,Male,4.0,,55.0,Garrard County,Yes,Yes,Unsure,,https://www.petfinder.com/dog/dallas-saving-2-lives-by-rescuing-one-73352554/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Black,Pit Bull,Terrier,Barn,544.0,2024-12,Adult,Large,County Shelter,100.0,180+ Days,DOG-0002
2024-12-12 10:52:07,Susan,Barn,Australian Shepherd Pit Mix,Tan And White,Female,4.0,,46.0,Garrard County,Yes,Yes,Unsure,,https://www.petfinder.com/dog/susan-saving-2-lives-by-rescuing-one-73352621/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Tan,Pit Bull,Terrier,Barn,544.0,2024-12,Adult,Medium,County Shelter,100.0,180+ Days,DOG-0003
2024-12-12 11:01:25,Rabbit,Foster KY,Pit Mix,Black,Male,8.0,,42.0,Knox County,Yes,Yes,Unsure,,https://www.petfinder.com/dog/rabbit-saving-2-lives-by-rescuing-one-73946895/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Black,Pit Bull,Terrier,Foster,544.0,2024-12,Senior,Medium,County Shelter,100.0,180+ Days,DOG-0004
2024-12-30 13:56:05,Rose,Barn,Anatolian Mix,Black And Cream,Female,2.0,,35.0,Bell County,Yes,Unknown,Unsure,,https://www.petfinder.com/dog/rose-74867580/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Black,Anatolian,Working,Barn,525.0,2024-12,Young Adult,Medium,County Shelter,100.0,180+ Days,DOG-0005
2024-12-30 13:57:41,Daisy,Barn,Anatolian Mix,Black And Cream,Female,2.0,,35.0,Bell County,Yes,Unknown,Unsure,,https://www.petfinder.com/dog/daisy-74867808/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Black,Anatolian,Working,Barn,525.0,2024-12,Young Adult,Medium,County Shelter,100.0,180+ Days,DOG-0006
2025-04-29 10:40:03,Nick,Foster KY,Collie Mix,Black,Male,3.0,,37.0,Bell County,Yes,Yes,Unsure,,,,Available,Black,Collie,Herding,Foster,406.0,2025-04,Adult,Medium,County Shelter,83.33333333333334,180+ Days,DOG-0007
2025-03-28 14:15:02,Dj,Foster NY,Shepherd Mix,Black And Tan,Male,4.0,,40.0,Owner Surrender,Yes,Yes,No,,https://www.petfinder.com/dog/dj-76021892/ny/lagrangeville/fields-of-freedom-dog-rescue-ky602/,,Available,Black,Shepherd,Herding,Foster,437.0,2025-03,Adult,Medium,Owner Surrender,100.0,180+ Days,DOG-0008
2025-06-03 11:56:06,Anne,Barn,Hound Mix,Tan And White,Female,0.83,,32.0,Bell County,Yes,Yes,Unsure,,,,Available,Tan,Hound,Hound,Barn,371.0,2025-06,Puppy,Medium,County Shelter,83.33333333333334,180+ Days,DOG-0009
2025-07-02 09:12:57,Moo Moo,Barn,Pit Mix,Black And White,Male,2.0,,40.0,Bell County,Yes,Yes,Unsure,,,,Available,Black,Pit Bull,Terrier,Barn,342.0,2025-07,Young Adult,Medium,County Shelter,83.33333333333334,180+ Days,DOG-0010
2025-07-30 09:35:36,Lightning,Foster KY,Shepherd Mix,Tricolor,Female,5.0,,50.0,Garrard County,Yes,Yes,Unsure,,,,Available,Tricolor,Shepherd,Herding,Foster,314.0,2025-07,Adult,Large,County Shelter,83.33333333333334,180+ Days,DOG-0011
2025-07-30 09:42:30,Krypto,Foster,Pit Boxer Mix,Black And White,Male,7.0,,,Transfer From Rescue,Yes,Yes,Unsure,,,,Available,Black,Pit Bull,Terrier,Foster,314.0,2025-07,Adult,Unknown,Rescue Transfer,66.66666666666666,180+ Days,DOG-0012
2025-10-14 12:59:21,Auri,Foster KY,Border Collie Mix,Black And White,Female,4.5,,45.0,Owner Surrender,Selective,Unknown,Unsure,,,,Available,Black,Border Collie,Herding,Foster,238.0,2025-10,Adult,Medium,Owner Surrender,83.33333333333334,180+ Days,DOG-0013
2025-11-26 10:14:48,Dante,Barn,Pit Mix,Black,Male,3.0,,46.0,Knox County,Yes,Yes,Unsure,,,,Available,Black,Pit Bull,Terrier,Barn,195.0,2025-11,Adult,Medium,County Shelter,83.33333333333334,180+ Days,DOG-0014
